"X1" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"21753" "2014" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "012015"
"21754" "2014" "MONTANA" "30" "Stillwater" "95" "30095" 72162 "012015"
"21755" "2014" "MONTANA" "30" "Sweet-Grass" "97" "30097" 93735 "012015"
"21756" "2014" "MONTANA" "30" "Teton" "99" "30099" 650152 "012015"
"21757" "2014" "MONTANA" "30" "Toole" "101" "30101" 2744275 "012015"
"21758" "2014" "MONTANA" "30" "Treasure" "103" "30103" 48435 "012015"
"21759" "2014" "MONTANA" "30" "Valley" "105" "30105" 4464122 "012015"
"21760" "2014" "MONTANA" "30" "Wheatland" "107" "30107" 186241 "012015"
"21761" "2014" "MONTANA" "30" "Wibaux" "109" "30109" 547799 "012015"
"21762" "2014" "MONTANA" "30" "Yellowstone" "111" "30111" 497541 "012015"
"36109" "2015" "MONTANA" "30" "Beaverhead" "1" "30001" 76942 "020116"
"36110" "2015" "MONTANA" "30" "Big-Horn" "3" "30003" 2145106 "020116"
"36111" "2015" "MONTANA" "30" "Blaine" "5" "30005" 6618039 "020116"
"36112" "2015" "MONTANA" "30" "Broadwater" "7" "30007" 446426 "020116"
"36113" "2015" "MONTANA" "30" "Carbon" "9" "30009" 157168 "020116"
"36114" "2015" "MONTANA" "30" "Carter" "11" "30011" 497696 "020116"
"36115" "2015" "MONTANA" "30" "Cascade" "13" "30013" 1764264 "020116"
"36116" "2015" "MONTANA" "30" "Chouteau" "15" "30015" 10006020 "020116"
"36117" "2015" "MONTANA" "30" "Custer" "17" "30017" 1184088 "020116"
"36118" "2015" "MONTANA" "30" "Daniels" "19" "30019" 5271536 "020116"
"36119" "2015" "MONTANA" "30" "Dawson" "21" "30021" 641039 "020116"
"36120" "2015" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "020116"
"36121" "2015" "MONTANA" "30" "Fallon" "25" "30025" 1410330 "020116"
"36122" "2015" "MONTANA" "30" "Fergus" "27" "30027" 839781 "020116"
"36123" "2015" "MONTANA" "30" "Flathead" "29" "30029" 360743 "020116"
"36124" "2015" "MONTANA" "30" "Gallatin" "31" "30031" 372470 "020116"
"36125" "2015" "MONTANA" "30" "Garfield" "33" "30033" 408228 "020116"
"36126" "2015" "MONTANA" "30" "Glacier" "35" "30035" 3924775 "020116"
"36127" "2015" "MONTANA" "30" "Golden-Valley" "37" "30037" 360928 "020116"
"36128" "2015" "MONTANA" "30" "Granite" "39" "30039" 0 "020116"
"36129" "2015" "MONTANA" "30" "Hill" "41" "30041" 29836451 "020116"
"36130" "2015" "MONTANA" "30" "Jefferson" "43" "30043" 323447 "020116"
"36131" "2015" "MONTANA" "30" "Judith-Basin" "45" "30045" 412466 "020116"
"36132" "2015" "MONTANA" "30" "Lake" "47" "30047" 420415 "020116"
"36133" "2015" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 403608 "020116"
"36134" "2015" "MONTANA" "30" "Liberty" "51" "30051" 11742484 "020116"
"36135" "2015" "MONTANA" "30" "Lincoln" "53" "30053" 31620 "020116"
"36136" "2015" "MONTANA" "30" "Madison" "57" "30057" 130406 "020116"
"36137" "2015" "MONTANA" "30" "McCone" "55" "30055" 1958224 "020116"
"36138" "2015" "MONTANA" "30" "Meagher" "59" "30059" 93465 "020116"
"36139" "2015" "MONTANA" "30" "Mineral" "61" "30061" 5571 "020116"
"36140" "2015" "MONTANA" "30" "Missoula" "63" "30063" 32233 "020116"
"36141" "2015" "MONTANA" "30" "Musselshell" "65" "30065" 320915 "020116"
"36142" "2015" "MONTANA" "30" "Park" "67" "30067" 60814 "020116"
"36143" "2015" "MONTANA" "30" "Petroleum" "69" "30069" 43193 "020116"
"36144" "2015" "MONTANA" "30" "Phillips" "71" "30071" 1651710 "020116"
"36145" "2015" "MONTANA" "30" "Pondera" "73" "30073" 3778152 "020116"
"36146" "2015" "MONTANA" "30" "Powder-River" "75" "30075" 793078 "020116"
"36147" "2015" "MONTANA" "30" "Powell" "77" "30077" 0 "020116"
"36148" "2015" "MONTANA" "30" "Prairie" "79" "30079" 612226 "020116"
"36149" "2015" "MONTANA" "30" "Ravalli" "81" "30081" 86674 "020116"
"36150" "2015" "MONTANA" "30" "Richland" "83" "30083" 1277827 "020116"
"36151" "2015" "MONTANA" "30" "Roosevelt" "85" "30085" 3023767 "020116"
"36152" "2015" "MONTANA" "30" "Rosebud" "87" "30087" 653652 "020116"
"36153" "2015" "MONTANA" "30" "Sanders" "89" "30089" 60515 "020116"
"36154" "2015" "MONTANA" "30" "Sheridan" "91" "30091" 2635408 "020116"
"36155" "2015" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "020116"
"36156" "2015" "MONTANA" "30" "Stillwater" "95" "30095" 317155 "020116"
"36157" "2015" "MONTANA" "30" "Sweet-Grass" "97" "30097" 71319 "020116"
"36158" "2015" "MONTANA" "30" "Teton" "99" "30099" 2309099 "020116"
"36159" "2015" "MONTANA" "30" "Toole" "101" "30101" 7389580 "020116"
"36160" "2015" "MONTANA" "30" "Treasure" "103" "30103" 141853 "020116"
"36161" "2015" "MONTANA" "30" "Valley" "105" "30105" 6008517 "020116"
"36162" "2015" "MONTANA" "30" "Wheatland" "107" "30107" 595779 "020116"
"36163" "2015" "MONTANA" "30" "Wibaux" "109" "30109" 259218 "020116"
"36164" "2015" "MONTANA" "30" "Yellowstone" "111" "30111" 1851901 "020116"
"39016" "2014" "MONTANA" "30" "Beaverhead" "1" "30001" 87686 "020215"
"39017" "2014" "MONTANA" "30" "Big-Horn" "3" "30003" 1347643 "020215"
"39018" "2014" "MONTANA" "30" "Blaine" "5" "30005" 5791645 "020215"
"39019" "2014" "MONTANA" "30" "Broadwater" "7" "30007" 486560 "020215"
"39020" "2014" "MONTANA" "30" "Carbon" "9" "30009" 91180 "020215"
"39021" "2014" "MONTANA" "30" "Carter" "11" "30011" 399131 "020215"
"39022" "2014" "MONTANA" "30" "Cascade" "13" "30013" 1122867 "020215"
"39023" "2014" "MONTANA" "30" "Chouteau" "15" "30015" 9017245 "020215"
